Command,ProgramName,ExecutablePath
authorization manager,azman.msc,"""C:\WINDOWS\System32\azman.msc"""
performance monitor,perfmon.msc,"""C:\WINDOWS\System32\perfmon.msc"""
event viewer,azman.msc,"""C:\WINDOWS\System32\azman.msc"""
printer management,printmanagement.msc,"""C:\WINDOWS\System32\printmanagement.msc"""
windows malicious software removal tool,MRT.exe,"""C:\WINDOWS\System32\MRT.exe"""
recovery media creator,RecoveryDrive.exe,"""C:\WINDOWS\System32\RecoveryDrive.exe"""
group policy updater,gpupdate.exe,"""C:\WINDOWS\System32\gpupdate.exe"""
task manager,Taskmgr.exe,"""C:\WINDOWS\System32\Taskmgr.exe"""
windows fax and scan,WFS.exe,"""C:\WINDOWS\System32\WFS.exe"""
xps viewer,xpschvw.exe,"""C:\WINDOWS\System32\xpschvw.exe"""
windows subsystem for linux,wsl.exe,"""C:\WINDOWS\System32\wsl.exe"""
windows activation,slui.exe,"""C:\WINDOWS\System32\slui.exe"""
remote desktop,mstsc.exe,"""C:\WINDOWS\System32\mstsc.exe"""
control panel,control.exe,"""C:\WINDOWS\System32\control.exe"""
windows remote assistance,msra.exe,"""C:\WINDOWS\System32\msra.exe"""
file history,filehistory.exe,"""C:\WINDOWS\System32\filehistory.exe"""
work folders,workfolders.exe,"""C:\WINDOWS\System32\workfolders.exe"""
microsoft management console,mmc.exe,"""C:\WINDOWS\System32\mmc.exe"""
system restore,rstrui.exe,"""C:\WINDOWS\System32\rstrui.exe"""
create system restore disk,recdisk.exe,"""C:\WINDOWS\System32\recdisk.exe"""
defrag,dfrgui.exe,"""C:\WINDOWS\System32\dfrgui.exe"""
language pack installer,lpksetup.exe,"""C:\WINDOWS\System32\lpksetup.exe"""
magnifier,magnify.exe,"""C:\WINDOWS\System32\magnify.exe"""
softether vpn command line utility,vpncmd.exe,"""C:\WINDOWS\System32\vpncmd.exe"""
windows presentation,PresentationSettings.exe,"""C:\WINDOWS\System32\PresentationSettings.exe"""
bash,bash.exe,"""C:\WINDOWS\System32\bash.exe"""
microsoft system information,msinfo32.exe,"""C:\WINDOWS\System32\msinfo32.exe"""
windows ftp,ftp.exe,"""C:\WINDOWS\System32\ftp.exe"""
microsoft support diagnostic tool,msdt.exe,"""C:\WINDOWS\System32\msdt.exe"""
microsoft sync center,mobsync.exe,"""C:\WINDOWS\System32\mobsync.exe"""
open calculator,calc.exe,"""C:\WINDOWS\System32\calc.exe"""
character map,charmap.exe,"""C:\WINDOWS\System32\charmap.exe"""
registry editor,regedit.msc,"""C:\WINDOWS\System32\regedit.msc"""
windows features,OptionalFeatures.exe,"""C:\WINDOWS\System32\OptionalFeatures.exe"""
calibrate touch screen,tabcal.exe,"""C:\WINDOWS\System32\tabcal.exe"""
resource monitor,resmon.exe,"""C:\WINDOWS\System32\resmon.exe"""
system configuration,msconfig.exe,"""C:\WINDOWS\System32\msconfig.exe"""
sql server client network utility,cliconfig.exe,"""C:\WINDOWS\System32\cliconfig.exe"""
odbc data source administrator,odbcad32.exe,"""C:\WINDOWS\System32\odbcad32.exe"""
direct x diagnostic tool,dxdiag.exe,"""C:\WINDOWS\System32\dxdiag.exe"""
add a device,devicepairingwizard.exe,"""C:\WINDOWS\System32\devicepairingwizard.exe"""
disk cleanup,cleanmgr.exe,"""C:\WINDOWS\System32\cleanmgr.exe"""
clear type text tuner,cttune.exe,"""C:\WINDOWS\System32\cttune.exe"""
on screen keyboard,osk.exe,"""C:\WINDOWS\System32\osk.exe"""
advanced ip scanner,advanced_ip_scanner.exe,"""C:\Program Files (x86)\Advanced IP Scanner\advanced_ip_scanner.exe"""
deluge,deluge.exe,"""C:\Program Files (x86)\Deluge\deluge.exe"""
intel extreme tuning utility,XtuUiLauncher.exe,"""C:\Program Files (x86)\Intel\Intel(R) Extreme Tuning Utility\Client\XtuUiLauncher.exe"""
iso to usb,isotousb.exe,"""C:\Program Files (x86)\ISO to USB\isotousb.exe"""
steam,steam.exe,"""C:\Program Files (x86)\Steam\steam.exe"""
teamviewer,teamviewer.exe,"""C:\Program Files (x86)\TeamViewer\teamviewer.exe"""
guild wars to,Gw2-64.exe,"""C:\Program Files\Guild Wars 2\Gw2-64.exe"""
pano to vr,pano2vr.exe,"""C:\Program Files\Pano2VR6\pano2vr.exe"""
putty,putty.exe,"""C:\Program Files\PuTTY\putty.exe"""
office,soffice.exe,"""C:\Program Files (x86)\OpenOffice 4\program\soffice.exe"""
open calc,scalc.exe,"""C:\Program Files (x86)\OpenOffice 4\program\scalc.exe"""
draw,sdraw.exe,"""C:\Program Files (x86)\OpenOffice 4\program\sdraw.exe"""
base,sbase.exe,"""C:\Program Files (x86)\OpenOffice 4\program\sbase.exe"""
impress,simpress.exe,"""C:\Program Files (x86)\OpenOffice 4\program\simpress.exe"""
