"Name","SI","Handles","VM","WS","PM","NPM","Path","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"CCleaner64","2","793","2238107734016","44077056","35213312","50784",,,,"158.984375",,,,,"Process",,,"8",,"False","11/30/2020 6:08:25 AM",,"19028",".",,,,"50784","50784","35213312","35213312","580640","580640","44232704","44232704","64593920","64593920","2238395895808","717934592",,,"35213312","35213312","CCleaner64",,"2",,"System.Diagnostics.ProcessThreadCollection","793","2238107734016","429772800","False",,,,"44077056","44077056",,,"00:02:19.3750000","00:02:38.9843750","00:00:19.6093750","37685700","","True",,
"CCleanerBrowserCrashHandler","0","160","60547072","1142784","2580480","13136",,,,,,,,,"Process",,,"4",,,,,"10520",".",,,,"13136","13136","2580480","2580480","99016","99016","2875392","2875392","8847360","8847360","65789952","65789952",,,"2580480","2580480","CCleanerBrowserCrashHandler",,"0",,"System.Diagnostics.ProcessThreadCollection","160","60547072","60547072","False",,,,"1142784","1142784",,,,,,"0","","True",,
"CCleanerBrowserCrashHandler64","0","143","4396421120","1085440","3346432","11456",,,,,,,,,"Process",,,"4",,,,,"8784",".",,,,"11456","11456","3346432","3346432","108056","108056","3416064","3416064","8650752","8650752","4398518272","103550976",,,"3346432","3346432","CCleanerBrowserCrashHandler64",,"0",,"System.Diagnostics.ProcessThreadCollection","143","4396421120","101453824","False",,,,"1085440","1085440",,,,,,"0","","True",,
"chrome","2","2276","2204437303296","287768576","262557696","64216","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","System.Diagnostics.Process (explorer)","Google LLC","2875.859375","87.0.4280.66","87.0.4280.66","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7444","8",,"False","12/1/2020 12:36:09 AM",,"2812",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","64216","64216","262557696","262557696","1131472","1131472","427171840","427171840","451710976","451710976","2204592594944","1274372096","True","Normal","262557696","262557696","chrome","255","2",,"System.Diagnostics.ProcessThreadCollection","2276","2204437303296","1119080448","False",,,,"287768576","287768576",,"System.Diagnostics.ProcessModule (chrome.exe)","00:15:44.7656250","00:47:55.8593750","00:32:11.0937500","26544328","Managing Processes with Process Cmdlets - PowerShell | Microsoft Docs - Google Chrome","True",,
"chrome","2","284","2208093749248","53448704","59822080","21480","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","System.Diagnostics.Process (chrome)","Google LLC","5.28125","87.0.4280.66","87.0.4280.66","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4680","8",,"False","12/2/2020 12:12:31 AM",,"7368",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","21480","21480","59822080","59822080","500392","500392","74027008","74027008","108974080","108974080","2212235096064","326938624","True","Normal","59822080","59822080","chrome","255","2",,"System.Diagnostics.ProcessThreadCollection","284","2208093749248","480559104","False",,,,"53448704","53448704",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.4843750","00:00:05.2812500","00:00:04.7968750","0","","True",,
"chrome","2","235","2208064118784","52224000","31965184","16176","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","System.Diagnostics.Process (chrome)","Google LLC","859","87.0.4280.66","87.0.4280.66","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8920","8",,"False","12/1/2020 12:36:10 AM",,"11072",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16176","16176","31965184","31965184","451736","451736","38248448","38248448","58105856","58105856","2212235096064","326938624","True","Normal","31965184","31965184","chrome","255","2",,"System.Diagnostics.ProcessThreadCollection","235","2208064118784","450928640","False",,,,"52224000","52224000",,"System.Diagnostics.ProcessModule (chrome.exe)","00:02:01.3750000","00:14:19","00:12:17.6250000","0","","True",,
"chrome","2","232","2208133984256","188338176","187088896","18352","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","System.Diagnostics.Process (chrome)","Google LLC","109.890625","87.0.4280.66","87.0.4280.66","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8388","8",,"False","12/1/2020 12:36:10 AM",,"14028",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","18352","18352","187088896","187088896","451872","451872","288206848","288206848","291688448","291688448","2212226707456","318550016","True","Normal","187088896","187088896","chrome","255","2",,"System.Diagnostics.ProcessThreadCollection","232","2208133984256","520794112","False",,,,"188338176","188338176",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:14.7968750","00:01:49.8906250","00:01:35.0937500","0","","True",,
"chrome","2","299","2208091729920","109916160","96219136","21072","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","System.Diagnostics.Process (chrome)","Google LLC","27.453125","87.0.4280.66","87.0.4280.66","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2864","4",,"False","12/1/2020 12:36:17 AM",,"14800",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","21072","21072","96219136","96219136","481344","481344","100884480","100884480","123736064","123736064","2212236144640","327987200","True","Idle","96219136","96219136","chrome","255","2",,"System.Diagnostics.ProcessThreadCollection","299","2208091729920","478539776","False",,,,"109916160","109916160",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:02.2343750","00:00:27.4531250","00:00:25.2187500","0","","True",,
"chrome","2","1267","2205471346688","278331392","428744704","47968","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","System.Diagnostics.Process (chrome)","Google LLC","1715.515625","87.0.4280.66","87.0.4280.66","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8468","10",,"False","12/1/2020 12:36:10 AM",,"15960",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","47968","47968","428744704","428744704","1086288","1086288","1076621312","1076621312","950980608","950980608","2205873037312","-1740152832","True","AboveNormal","428744704","428744704","chrome","255","2",,"System.Diagnostics.ProcessThreadCollection","1267","2205471346688","-2141843456","False",,,,"278331392","278331392",,"System.Diagnostics.ProcessModule (chrome.exe)","00:07:09.2500000","00:28:35.5156250","00:21:26.2656250","0","","True",,
"chrome","2","256","2203766136832","50765824","16809984","21480","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","System.Diagnostics.Process (chrome)","Google LLC","913.171875","87.0.4280.66","87.0.4280.66","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6304","8",,"False","12/1/2020 7:12:01 PM",,"16152",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","21480","21480","16809984","16809984","666376","666376","19271680","19271680","51617792","51617792","2203802185728","483962880","True","Normal","16809984","16809984","chrome","255","2",,"System.Diagnostics.ProcessThreadCollection","256","2203766136832","447913984","False",,,,"50765824","50765824",,"System.Diagnostics.ProcessModule (chrome.exe)","00:02:23.3750000","00:15:13.1718750","00:12:49.7968750","0","","True",,
